booking_id,check_in_date,check_out_date,ADR,room_type,occupancy_rate,advance_booking_days,length_of_stay,guest_id
10000,2022-01-01,2022-01-04,317.69,Executive Suite,0.67,1,3,G58843
10001,2022-01-01,2022-01-03,217.25,Standard King,0.73,7,2,G26021
10002,2022-01-01,2022-01-03,329.14,Executive Suite,0.87,14,2,G16743
10003,2022-01-01,2022-01-03,249.02,Deluxe Queen,0.7,7,2,G96079
10004,2022-01-01,2022-01-02,323.97,Executive Suite,0.74,21,1,G46512
10005,2022-01-01,2022-01-03,534.05,Presidential Suite,0.84,7,2,G91490
10006,2022-01-01,2022-01-03,552.0,Presidential Suite,0.81,7,2,G45054
10007,2022-01-01,2022-01-04,172.22,Standard Double,0.73,3,3,G10800
10008,2022-01-01,2022-01-03,229.79,Standard King,0.69,3,2,G92991
10009,2022-01-01,2022-01-03,168.67,Standard Double,0.76,3,2,G30631
10010,2022-01-01,2022-01-03,237.47,Deluxe Queen,0.8,30,2,G16895
10011,2022-01-01,2022-01-03,201.3,Standard King,0.72,14,2,G96761
10012,2022-01-01,2022-01-03,334.43,Executive Suite,0.84,3,2,G24918
10013,2022-01-01,2022-01-02,242.2,Deluxe Queen,0.77,14,1,G97442
10014,2022-01-01,2022-01-03,226.82,Deluxe Queen,0.65,7,2,G49507
10015,2022-01-01,2022-01-04,225.69,Standard King,0.68,3,3,G75193
10016,2022-01-01,2022-01-03,322.03,Executive Suite,0.78,14,2,G97562
10017,2022-01-01,2022-01-05,227.88,Deluxe Queen,0.65,1,4,G20205
10018,2022-01-01,2022-01-03,248.03,Deluxe Queen,0.75,14,2,G25096
10019,2022-01-01,2022-01-03,315.83,Executive Suite,0.8,21,2,G57428
10020,2022-01-01,2022-01-02,182.47,Standard Double,0.75,3,1,G20308
10021,2022-01-01,2022-01-04,349.82,Executive Suite,0.84,3,3,G20011
10022,2022-01-01,2022-01-03,550.33,Presidential Suite,0.84,1,2,G56019
10023,2022-01-01,2022-01-02,204.45,Standard King,0.8,1,1,G95918
10024,2022-01-01,2022-01-04,172.09,Standard Double,0.84,7,3,G85952
10025,2022-01-01,2022-01-05,342.25,Executive Suite,0.9,7,4,G52363
10026,2022-01-01,2022-01-02,231.04,Deluxe Queen,0.73,3,1,G46002
10027,2022-01-01,2022-01-03,527.25,Presidential Suite,0.76,3,2,G17456
10028,2022-01-01,2022-01-02,258.27,Deluxe Queen,0.86,21,1,G90610
10029,2022-01-01,2022-01-03,545.28,Presidential Suite,0.85,7,2,G15376
10030,2022-01-01,2022-01-03,351.36,Executive Suite,0.8,1,2,G75715
10031,2022-01-01,2022-01-03,233.31,Standard King,0.86,21,2,G21053
10032,2022-01-01,2022-01-02,550.85,Presidential Suite,0.9,14,1,G78690
10033,2022-01-02,2022-01-03,239.91,Deluxe Queen,0.73,3,1,G88366
10034,2022-01-02,2022-01-04,196.57,Standard Double,0.67,1,2,G98916
10035,2022-01-02,2022-01-05,326.37,Executive Suite,0.88,14,3,G29709
10036,2022-01-02,2022-01-04,228.26,Deluxe Queen,0.73,30,2,G95990
10037,2022-01-02,2022-01-05,320.16,Executive Suite,0.79,1,3,G94343
10038,2022-01-02,2022-01-04,257.53,Deluxe Queen,0.83,21,2,G99838
10039,2022-01-02,2022-01-04,528.74,Presidential Suite,0.65,7,2,G50483
10040,2022-01-02,2022-01-04,233.05,Standard King,0.7,14,2,G28030
10041,2022-01-02,2022-01-05,198.09,Standard King,0.84,1,3,G79013
10042,2022-01-02,2022-01-06,191.48,Standard Double,0.8,7,4,G30218
10043,2022-01-02,2022-01-04,202.23,Standard King,0.88,7,2,G67366
10044,2022-01-02,2022-01-04,181.43,Standard Double,0.76,3,2,G47346
10045,2022-01-02,2022-01-03,324.36,Executive Suite,0.85,60,1,G35430
10046,2022-01-02,2022-01-04,252.13,Deluxe Queen,0.84,3,2,G60052
10047,2022-01-02,2022-01-07,546.1,Presidential Suite,0.85,21,5,G28140
10048,2022-01-02,2022-01-04,227.09,Deluxe Queen,0.88,3,2,G77621
10049,2022-01-02,2022-01-05,176.4,Standard Double,0.88,3,3,G29313
10050,2022-01-02,2022-01-06,318.67,Executive Suite,0.87,21,4,G13495
10051,2022-01-02,2022-01-04,317.13,Executive Suite,0.9,3,2,G59140
10052,2022-01-02,2022-01-07,196.13,Standard King,0.81,21,5,G29142
10053,2022-01-02,2022-01-06,196.53,Standard King,0.86,7,4,G71487
10054,2022-01-02,2022-01-06,339.61,Executive Suite,0.7,1,4,G29597
10055,2022-01-02,2022-01-04,562.61,Presidential Suite,0.84,3,2,G41147
10056,2022-01-02,2022-01-03,229.87,Deluxe Queen,0.81,7,1,G18232
10057,2022-01-02,2022-01-04,198.47,Standard Double,0.81,7,2,G85372
10058,2022-01-02,2022-01-03,223.74,Standard King,0.74,1,1,G84798
10059,2022-01-02,2022-01-04,322.49,Executive Suite,0.74,7,2,G78951
10060,2022-01-02,2022-01-09,545.29,Presidential Suite,0.75,7,7,G71621
10061,2022-01-02,2022-01-09,190.43,Standard Double,0.65,3,7,G18855
10062,2022-01-02,2022-01-04,234.65,Deluxe Queen,0.8,1,2,G53583
10063,2022-01-02,2022-01-04,196.77,Standard King,0.69,21,2,G99742
10064,2022-01-02,2022-01-04,354.23,Executive Suite,0.68,1,2,G69988
10065,2022-01-02,2022-01-03,176.74,Standard Double,0.66,1,1,G50642
10066,2022-01-02,2022-01-05,540.93,Presidential Suite,0.66,7,3,G94790
10067,2022-01-03,2022-01-06,199.28,Deluxe Queen,0.73,21,3,G26315
10068,2022-01-03,2022-01-05,202.48,Deluxe Queen,0.89,3,2,G54438
10069,2022-01-03,2022-01-05,179.85,Standard King,0.78,30,2,G20828
10070,2022-01-03,2022-01-05,263.16,Executive Suite,0.79,21,2,G52101
10071,2022-01-03,2022-01-05,138.2,Standard Double,0.8,3,2,G65851
10072,2022-01-03,2022-01-05,187.59,Standard King,0.87,1,2,G56210
10073,2022-01-03,2022-01-04,474.93,Presidential Suite,0.89,90,1,G19835
10074,2022-01-03,2022-01-06,274.53,Executive Suite,0.89,14,3,G28714
10075,2022-01-03,2022-01-05,462.12,Presidential Suite,0.71,1,2,G94562
10076,2022-01-03,2022-01-08,199.49,Deluxe Queen,0.69,1,5,G68972
10077,2022-01-03,2022-01-06,199.88,Deluxe Queen,0.78,7,3,G62171
10078,2022-01-03,2022-01-04,210.98,Deluxe Queen,0.83,1,1,G75410
10079,2022-01-03,2022-01-05,450.48,Presidential Suite,0.72,3,2,G68493
10080,2022-01-03,2022-01-04,199.85,Standard King,0.77,30,1,G26074
10081,2022-01-03,2022-01-05,194.11,Standard King,0.76,21,2,G21506
10082,2022-01-03,2022-01-06,211.71,Deluxe Queen,0.72,7,3,G49315
10083,2022-01-03,2022-01-07,188.47,Standard King,0.85,7,4,G76683
10084,2022-01-03,2022-01-04,164.85,Standard King,0.85,1,1,G13445
10085,2022-01-03,2022-01-05,207.16,Deluxe Queen,0.79,21,2,G90209
10086,2022-01-03,2022-01-05,137.63,Standard Double,0.77,14,2,G63843
10087,2022-01-04,2022-01-09,437.95,Presidential Suite,0.76,7,5,G99143
10088,2022-01-04,2022-01-08,448.78,Presidential Suite,0.81,14,4,G33850
10089,2022-01-04,2022-01-08,177.3,Standard King,0.68,1,4,G30056
10090,2022-01-04,2022-01-06,191.59,Deluxe Queen,0.74,14,2,G78012
10091,2022-01-04,2022-01-05,218.84,Deluxe Queen,0.79,7,1,G26406
10092,2022-01-04,2022-01-05,209.58,Deluxe Queen,0.8,7,1,G86106
10093,2022-01-04,2022-01-06,166.85,Standard King,0.73,30,2,G83874
10094,2022-01-04,2022-01-05,168.01,Standard Double,0.81,1,1,G85598
10095,2022-01-04,2022-01-07,211.05,Deluxe Queen,0.81,3,3,G75278
10096,2022-01-04,2022-01-09,446.59,Presidential Suite,0.85,7,5,G99783
10097,2022-01-04,2022-01-05,271.9,Executive Suite,0.76,1,1,G73471
10098,2022-01-04,2022-01-06,268.16,Executive Suite,0.83,3,2,G55268
10099,2022-01-04,2022-01-06,265.23,Executive Suite,0.73,7,2,G71141
10100,2022-01-04,2022-01-05,145.7,Standard Double,0.72,1,1,G60351
10101,2022-01-04,2022-01-09,451.73,Presidential Suite,0.85,30,5,G85718
10102,2022-01-04,2022-01-05,192.59,Deluxe Queen,0.77,90,1,G50441
10103,2022-01-04,2022-01-09,260.93,Executive Suite,0.89,7,5,G38199
10104,2022-01-04,2022-01-05,449.12,Presidential Suite,0.87,7,1,G95755
10105,2022-01-04,2022-01-05,271.43,Executive Suite,0.68,1,1,G44664
10106,2022-01-04,2022-01-06,215.55,Deluxe Queen,0.79,3,2,G35513
10107,2022-01-04,2022-01-05,207.13,Deluxe Queen,0.84,7,1,G46663
10108,2022-01-04,2022-01-05,462.22,Presidential Suite,0.75,60,1,G54444
10109,2022-01-04,2022-01-07,472.56,Presidential Suite,0.78,1,3,G75546
10110,2022-01-05,2022-01-08,136.56,Standard Double,0.78,21,3,G29521
10111,2022-01-05,2022-01-06,470.73,Presidential Suite,0.73,30,1,G61505
10112,2022-01-05,2022-01-06,464.57,Presidential Suite,0.86,3,1,G79774
10113,2022-01-05,2022-01-06,288.35,Executive Suite,0.74,21,1,G98317
10114,2022-01-05,2022-01-07,174.2,Standard Double,0.83,14,2,G92478
10115,2022-01-05,2022-01-06,158.88,Standard Double,0.89,14,1,G85821
10116,2022-01-05,2022-01-06,444.1,Presidential Suite,0.78,7,1,G91230
10117,2022-01-05,2022-01-07,265.91,Executive Suite,0.89,1,2,G24404
10118,2022-01-05,2022-01-07,160.76,Standard King,0.82,1,2,G63788
10119,2022-01-05,2022-01-09,466.0,Presidential Suite,0.83,21,4,G18163
10120,2022-01-05,2022-01-07,180.75,Standard King,0.77,90,2,G59391
10121,2022-01-05,2022-01-07,223.27,Deluxe Queen,0.79,7,2,G98587
10122,2022-01-05,2022-01-06,209.4,Deluxe Queen,0.79,3,1,G39473
10123,2022-01-05,2022-01-08,215.85,Deluxe Queen,0.77,14,3,G72888
10124,2022-01-05,2022-01-10,207.42,Deluxe Queen,0.72,14,5,G85166
10125,2022-01-05,2022-01-12,450.19,Presidential Suite,0.89,21,7,G29198
10126,2022-01-05,2022-01-10,186.68,Deluxe Queen,0.88,1,5,G95979
10127,2022-01-06,2022-01-09,268.56,Executive Suite,0.79,3,3,G45601
10128,2022-01-06,2022-01-09,164.37,Standard King,0.66,3,3,G79604
10129,2022-01-06,2022-01-07,185.52,Standard King,0.83,3,1,G23178
10130,2022-01-06,2022-01-08,160.21,Standard King,0.75,30,2,G72350
10131,2022-01-06,2022-01-09,286.02,Executive Suite,0.72,3,3,G17754
10132,2022-01-06,2022-01-07,161.09,Standard Double,0.86,14,1,G14888
