date,day_of_week,month,is_weekend,season,is_holiday,local_event_scale,seasonal_multiplier,weekend_multiplier
2022-01-01,Saturday,January,1,Winter,0,0,1.0,1.2
2022-01-02,Sunday,January,1,Winter,0,0,1.0,1.2
2022-01-03,Monday,January,0,Winter,0,0,1.0,1.0
2022-01-04,Tuesday,January,0,Winter,0,0,1.0,1.0
2022-01-05,Wednesday,January,0,Winter,0,0,1.0,1.0
2022-01-06,Thursday,January,0,Winter,0,0,1.0,1.0
2022-01-07,Friday,January,0,Winter,0,0,1.0,1.0
2022-01-08,Saturday,January,1,Winter,0,0,1.0,1.2
2022-01-09,Sunday,January,1,Winter,0,0,1.0,1.2
2022-01-10,Monday,January,0,Winter,0,0,1.0,1.0
2022-01-11,Tuesday,January,0,Winter,0,0,1.0,1.0
2022-01-12,Wednesday,January,0,Winter,0,0,1.0,1.0
2022-01-13,Thursday,January,0,Winter,0,0,1.0,1.0
2022-01-14,Friday,January,0,Winter,0,0,1.0,1.0
2022-01-15,Saturday,January,1,Winter,0,0,1.0,1.2
2022-01-16,Sunday,January,1,Winter,0,0,1.0,1.2
2022-01-17,Monday,January,0,Winter,0,0,1.0,1.0
2022-01-18,Tuesday,January,0,Winter,0,0,1.0,1.0
2022-01-19,Wednesday,January,0,Winter,0,0,1.0,1.0
2022-01-20,Thursday,January,0,Winter,0,0,1.0,1.0
2022-01-21,Friday,January,0,Winter,0,0,1.0,1.0
2022-01-22,Saturday,January,1,Winter,0,0,1.0,1.2
2022-01-23,Sunday,January,1,Winter,0,0,1.0,1.2
2022-01-24,Monday,January,0,Winter,0,0,1.0,1.0
2022-01-25,Tuesday,January,0,Winter,0,0,1.0,1.0
2022-01-26,Wednesday,January,0,Winter,0,0,1.0,1.0
2022-01-27,Thursday,January,0,Winter,0,0,1.0,1.0
2022-01-28,Friday,January,0,Winter,0,0,1.0,1.0
2022-01-29,Saturday,January,1,Winter,0,0,1.0,1.2
2022-01-30,Sunday,January,1,Winter,0,0,1.0,1.2
2022-01-31,Monday,January,0,Winter,0,0,1.0,1.0
2022-02-01,Tuesday,February,0,Winter,0,0,1.0,1.0
2022-02-02,Wednesday,February,0,Winter,0,0,1.0,1.0
2022-02-03,Thursday,February,0,Winter,0,0,1.0,1.0
2022-02-04,Friday,February,0,Winter,0,0,1.0,1.0
2022-02-05,Saturday,February,1,Winter,0,0,1.0,1.2
2022-02-06,Sunday,February,1,Winter,0,0,1.0,1.2
2022-02-07,Monday,February,0,Winter,0,0,1.0,1.0
2022-02-08,Tuesday,February,0,Winter,0,0,1.0,1.0
2022-02-09,Wednesday,February,0,Winter,0,0,1.0,1.0
2022-02-10,Thursday,February,0,Winter,0,0,1.0,1.0
2022-02-11,Friday,February,0,Winter,0,0,1.0,1.0
2022-02-12,Saturday,February,1,Winter,0,0,1.0,1.2
2022-02-13,Sunday,February,1,Winter,0,0,1.0,1.2
2022-02-14,Monday,February,0,Winter,0,0,1.0,1.0
2022-02-15,Tuesday,February,0,Winter,0,0,1.0,1.0
2022-02-16,Wednesday,February,0,Winter,0,0,1.0,1.0
2022-02-17,Thursday,February,0,Winter,0,0,1.0,1.0
2022-02-18,Friday,February,0,Winter,0,0,1.0,1.0
2022-02-19,Saturday,February,1,Winter,0,0,1.0,1.2
2022-02-20,Sunday,February,1,Winter,0,0,1.0,1.2
2022-02-21,Monday,February,0,Winter,0,0,1.0,1.0
2022-02-22,Tuesday,February,0,Winter,0,0,1.0,1.0
2022-02-23,Wednesday,February,0,Winter,0,0,1.0,1.0
2022-02-24,Thursday,February,0,Winter,0,0,1.0,1.0
2022-02-25,Friday,February,0,Winter,0,0,1.0,1.0
2022-02-26,Saturday,February,1,Winter,0,0,1.0,1.2
2022-02-27,Sunday,February,1,Winter,0,0,1.0,1.2
2022-02-28,Monday,February,0,Winter,0,0,1.0,1.0
2022-03-01,Tuesday,March,0,Spring,0,0,1.0,1.0
2022-03-02,Wednesday,March,0,Spring,0,1,1.0,1.0
2022-03-03,Thursday,March,0,Spring,0,2,1.0,1.0
2022-03-04,Friday,March,0,Spring,0,0,1.0,1.0
2022-03-05,Saturday,March,1,Spring,0,0,1.0,1.2
2022-03-06,Sunday,March,1,Spring,0,0,1.0,1.2
2022-03-07,Monday,March,0,Spring,0,0,1.0,1.0
2022-03-08,Tuesday,March,0,Spring,0,1,1.0,1.0
2022-03-09,Wednesday,March,0,Spring,0,1,1.0,1.0
2022-03-10,Thursday,March,0,Spring,0,0,1.0,1.0
2022-03-11,Friday,March,0,Spring,0,1,1.0,1.0
2022-03-12,Saturday,March,1,Spring,0,0,1.0,1.2
2022-03-13,Sunday,March,1,Spring,0,0,1.0,1.2
2022-03-14,Monday,March,0,Spring,0,0,1.0,1.0
2022-03-15,Tuesday,March,0,Spring,0,0,1.0,1.0
2022-03-16,Wednesday,March,0,Spring,0,1,1.0,1.0
2022-03-17,Thursday,March,0,Spring,0,0,1.0,1.0
2022-03-18,Friday,March,0,Spring,0,2,1.0,1.0
2022-03-19,Saturday,March,1,Spring,0,0,1.0,1.2
2022-03-20,Sunday,March,1,Spring,0,0,1.0,1.2
2022-03-21,Monday,March,0,Spring,0,0,1.0,1.0
2022-03-22,Tuesday,March,0,Spring,0,0,1.0,1.0
2022-03-23,Wednesday,March,0,Spring,0,2,1.0,1.0
2022-03-24,Thursday,March,0,Spring,0,0,1.0,1.0
2022-03-25,Friday,March,0,Spring,0,1,1.0,1.0
2022-03-26,Saturday,March,1,Spring,0,0,1.0,1.2
2022-03-27,Sunday,March,1,Spring,0,0,1.0,1.2
2022-03-28,Monday,March,0,Spring,0,0,1.0,1.0
2022-03-29,Tuesday,March,0,Spring,0,0,1.0,1.0
2022-03-30,Wednesday,March,0,Spring,0,0,1.0,1.0
2022-03-31,Thursday,March,0,Spring,0,0,1.0,1.0
2022-04-01,Friday,April,0,Spring,0,0,1.0,1.0
2022-04-02,Saturday,April,1,Spring,0,0,1.0,1.2
2022-04-03,Sunday,April,1,Spring,0,0,1.0,1.2
2022-04-04,Monday,April,0,Spring,0,0,1.0,1.0
2022-04-05,Tuesday,April,0,Spring,0,0,1.0,1.0
2022-04-06,Wednesday,April,0,Spring,0,0,1.0,1.0
