Date of booking,Room type,Daily room rate,Occupancy status,Season,Special event indicator,Revenue generated,Guest satisfaction rating,Cancellation status
01-01-2022,Standard,255.23,Occupied,Off-Peak,0,9193.27,2,Completed
01-01-2022,Suite,120.73,Occupied,Off-Peak,1,10153.6,5,Completed
01-01-2022,Deluxe,269.08,Available,Off-Peak,0,13831.63,3,Completed
01-01-2022,Deluxe,368.51,Occupied,Peak,0,20380.89,5,Completed
01-01-2022,Standard,340.32,Occupied,Peak,1,20302.02,3,Completed
01-01-2022,Standard,332.11,Occupied,Peak,1,6757.16,5,Completed
01-01-2022,Standard,279,Available,Off-Peak,0,11533.83,5,Completed
01-01-2022,Suite,204.07,Occupied,Off-Peak,1,11399.19,1,Completed
01-01-2022,Deluxe,338.65,Available,Peak,0,2342.08,4,Cancelled
01-01-2022,Deluxe,237.43,Occupied,Off-Peak,0,17830.6,2,Completed
01-01-2022,Standard,463.81,Available,Off-Peak,0,13769.2,2,Cancelled
01-01-2022,Suite,342.79,Available,Off-Peak,0,14434.29,3,Completed
01-01-2022,Suite,256.45,Occupied,Off-Peak,0,21729.36,4,Completed
01-01-2022,Standard,254.15,Occupied,Off-Peak,0,15441.55,3,Completed
01-01-2022,Standard,293.03,Occupied,Peak,0,12846.35,4,Completed
01-01-2022,Standard,282.04,Occupied,Peak,0,17860.39,2,Completed
01-01-2022,Standard,383.76,Available,Off-Peak,0,20294.36,1,Cancelled
01-01-2022,Deluxe,313.98,Occupied,Peak,0,16482.34,4,Completed
01-01-2022,Standard,245.13,Occupied,Peak,0,18445.95,4,Completed
01-01-2022,Standard,441.78,Occupied,Off-Peak,0,14272.16,4,Completed
01-01-2022,Deluxe,303.7,Occupied,Off-Peak,0,14590.71,4,Completed
01-01-2022,Standard,357.66,Available,Off-Peak,0,15565.1,5,Completed
01-01-2022,Standard,254.38,Occupied,Peak,0,11234.4,3,Completed
01-01-2022,Standard,327.23,Available,Off-Peak,0,12159.69,1,Completed
02-01-2022,Standard,323.33,Available,Peak,0,21889.4,4,Completed
02-01-2022,Deluxe,158.28,Occupied,Peak,1,25039.78,4,Completed
02-01-2022,Standard,451.15,Occupied,Off-Peak,0,22960.99,4,Completed
02-01-2022,Deluxe,396.8,Available,Peak,0,8383.71,4,Completed
02-01-2022,Deluxe,270.21,Occupied,Peak,0,7900.71,3,Completed
02-01-2022,Standard,217.33,Occupied,Off-Peak,0,9046.45,2,Completed
02-01-2022,Deluxe,326.07,Occupied,Peak,1,15671.94,4,Completed
02-01-2022,Standard,306.5,Occupied,Off-Peak,0,956.38,2,Cancelled
02-01-2022,Standard,326.68,Available,Off-Peak,0,12055.99,3,Completed
02-01-2022,Suite,314.37,Occupied,Off-Peak,0,22035.5,3,Cancelled
02-01-2022,Suite,337.97,Occupied,Peak,0,19912.19,3,Cancelled
02-01-2022,Suite,408.55,Available,Off-Peak,0,12454.53,4,Completed
02-01-2022,Standard,342.61,Available,Peak,0,12833.22,1,Completed
02-01-2022,Standard,221.28,Occupied,Off-Peak,1,17836.21,5,Completed
02-01-2022,Deluxe,402.19,Available,Peak,0,19676.34,4,Cancelled
02-01-2022,Standard,423.05,Occupied,Peak,0,12334.31,3,Completed
02-01-2022,Standard,536.4,Available,Off-Peak,0,13828.17,2,Completed
02-01-2022,Standard,215.74,Occupied,Peak,0,12169.95,1,Completed
02-01-2022,Standard,318.22,Occupied,Peak,0,8343.25,4,Completed
02-01-2022,Suite,143.84,Available,Peak,0,13901.28,3,Completed
02-01-2022,Standard,341.49,Occupied,Off-Peak,0,13520.36,2,Completed
02-01-2022,Deluxe,258.88,Available,Peak,0,8696.78,3,Completed
02-01-2022,Standard,444.26,Occupied,Off-Peak,0,18230.4,4,Completed
02-01-2022,Deluxe,241.9,Available,Peak,0,17416.6,4,Completed
03-01-2022,Deluxe,173.31,Available,Off-Peak,0,18478.6,4,Cancelled
03-01-2022,Standard,264.66,Occupied,Off-Peak,0,11159.65,5,Cancelled
03-01-2022,Suite,151.84,Available,Off-Peak,0,5082.12,2,Completed
03-01-2022,Deluxe,356.33,Occupied,Off-Peak,0,17336.66,4,Completed
03-01-2022,Suite,145.12,Available,Peak,0,11679.44,2,Completed
03-01-2022,Suite,302.13,Occupied,Peak,0,10546.66,4,Cancelled
03-01-2022,Deluxe,144.16,Available,Peak,0,8714.73,4,Completed
03-01-2022,Suite,275.98,Occupied,Off-Peak,0,13623.39,2,Completed
03-01-2022,Standard,423.25,Occupied,Off-Peak,0,22886.64,3,Completed
03-01-2022,Standard,327.05,Occupied,Off-Peak,1,12472.75,5,Cancelled
03-01-2022,Standard,235.24,Occupied,Peak,0,9550.98,2,Completed
03-01-2022,Standard,297.66,Available,Off-Peak,0,18259.67,3,Completed
03-01-2022,Standard,301.35,Occupied,Off-Peak,0,15864.06,5,Completed
03-01-2022,Standard,335.45,Occupied,Off-Peak,0,4403.49,4,Completed
03-01-2022,Suite,197.49,Occupied,Off-Peak,0,18311.73,4,Completed
03-01-2022,Standard,344.44,Occupied,Peak,0,25642.34,5,Completed
03-01-2022,Standard,97.17,Occupied,Peak,0,1997.32,2,Completed
03-01-2022,Deluxe,252.76,Available,Off-Peak,0,8821.47,2,Completed
03-01-2022,Standard,263.38,Available,Peak,0,757.36,4,Cancelled
03-01-2022,Suite,347.5,Occupied,Peak,0,14623.48,4,Completed
03-01-2022,Standard,301.7,Occupied,Peak,0,19951.93,1,Completed
03-01-2022,Suite,194.58,Occupied,Peak,0,15527.5,3,Completed
03-01-2022,Deluxe,226.13,Occupied,Off-Peak,0,21959.98,3,Completed
03-01-2022,Standard,314.9,Occupied,Peak,0,19152.75,5,Completed
04-01-2022,Standard,294.07,Available,Off-Peak,0,23510.74,3,Completed
04-01-2022,Suite,256.57,Occupied,Off-Peak,0,20801.05,5,Completed
04-01-2022,Deluxe,263.94,Available,Off-Peak,0,12985.28,5,Completed
